Adj|_|Dep	n/a
Adj|_|Pass	n/a
Adj|_|SemDep	n/a
Ger|_|Act	n/a
Ger|_|Dep	n/a
Ger|_|SemDep	n/a
Imp|Fut|Act	n
Imp|Fut|Dep	n
Imp|Pres|Act	n
Imp|Pres|Dep	n
Imp|Pres|Pass	n
Imp|Pres|SemDep	n
Ind|FutAnt|Act	n
Ind|FutAnt|Dep	o
Ind|FutAnt|Pass	o
Ind|Fut|Act	n
Ind|Fut|Dep	n
Ind|Fut|Pass	n
Ind|Fut|SemDep	n
Ind|Impa|Act	n
Ind|Impa|Dep	n
Ind|Impa|Pass	n
Ind|Impa|SemDep	n
Ind|Perf|Act	n
Ind|Perf|Dep	o
Ind|Perf|Pass	o
Ind|Perf|SemDep	o
Ind|PeriFut|Pass	o
Ind|PeriPerf|Pass	o
Ind|PeriPqp|Dep	o
Ind|PeriPqp|Pass	o
Ind|Pqp|Act	n
Ind|Pqp|Dep	o
Ind|Pqp|Pass	o
Ind|Pqp|SemDep	o
Ind|Pres|Act	n
Ind|Pres|Dep	n
Ind|Pres|Pass	n
Ind|Pres|SemDep	n
Inf|Fut|Act	o
Inf|Fut|Dep	o
Inf|Fut|Pass	o
Inf|Fut|SemDep	o
Inf|Perf|Act	n
Inf|Perf|Dep	o
Inf|Perf|Pass	o
Inf|Perf|SemDep	o
Inf|PeriFut|Act	o
Inf|PeriPqp|Pass	o
Inf|Pres|Act	n
Inf|Pres|Dep	n
Inf|Pres|Pass	n
Inf|Pres|SemDep	n
Par|Fut|Act	o
Par|Fut|Dep	o
Par|Fut|SemDep	o
Par|Perf|Act	o
Par|Perf|Dep	o
Par|Perf|Pass	o
Par|Perf|SemDep	o
Par|Pres|Act	o
Par|Pres|Dep	o
Par|Pres|SemDep	o
Sub|FutAnt|Dep	o
Sub|FutAnt|Pass	o
Sub|Fut|Act	o
Sub|Impa|Act	n
Sub|Impa|Dep	n
Sub|Impa|Pass	n
Sub|Impa|SemDep	n
Sub|Perf|Act	n
Sub|Perf|Dep	o
Sub|Perf|Pass	o
Sub|Perf|SemDep	o
Sub|PeriPerf|Pass	o
Sub|PeriPqp|Dep	o
Sub|PeriPqp|Pass	o
Sub|Pqp|Act	n
Sub|Pqp|Dep	o
Sub|Pqp|Pass	o
Sub|Pqp|SemDep	o
Sub|Pres|Act	n
Sub|Pres|Dep	n
Sub|Pres|Pass	n
Sub|Pres|SemDep	n
SupUm|_|Act	n/a
SupU|_|Act	n/a
SupU|_|Dep	n/a
_	
